BREAKDOWN,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PTS
2019-20,38.7,93.8,41.3,13.7,38.6,35.6,16.2,20.6,78.4,9.4,36.3,45.7,23.8,14.3,7.4,4.6,6.0,21.3,107.4
Home,38.7,94.3,41.1,13.4,38.5,34.8,16.2,20.4,79.1,9.4,35.3,44.7,23.0,13.9,7.3,4.8,6.0,21.1,107.0
Road,38.7,93.4,41.5,14.0,38.7,36.3,16.1,20.8,77.8,9.5,37.1,46.6,24.6,14.6,7.5,4.4,6.0,21.5,107.6
Wins,37.9,94.4,40.2,13.2,38.5,34.2,15.6,20.0,78.2,9.7,35.1,44.8,23.3,14.4,7.5,4.5,6.4,21.3,104.7
Losses,42.3,91.3,46.3,16.2,38.9,41.5,18.4,23.3,79.2,8.4,41.3,49.8,26.2,13.9,6.8,4.7,4.2,21.4,119.1
October,41.3,95.8,43.1,15.3,43.0,35.5,19.8,27.0,73.1,8.3,42.8,51.0,25.5,13.5,4.8,4.0,6.3,24.3,117.5
November,39.2,93.7,41.8,14.5,37.4,38.7,14.6,18.8,77.4,10.1,35.5,45.6,24.1,15.6,6.9,4.0,6.3,22.4,107.4
December,37.3,93.1,40.0,13.5,38.5,35.2,14.7,19.5,75.3,9.9,34.3,44.2,24.0,14.3,8.3,5.6,6.3,19.7,102.7
January,38.5,93.8,41.1,14.2,40.2,35.4,19.0,22.5,84.3,9.2,36.8,46.1,22.8,13.2,7.1,4.5,6.2,22.2,110.3
February,38.8,95.4,40.7,12.5,38.5,32.3,15.5,20.5,76.0,9.1,36.0,45.1,23.0,14.4,7.6,4.0,6.1,20.1,105.6
March,39.8,91.5,43.5,12.3,35.8,34.4,16.7,20.0,83.3,8.2,38.3,46.5,24.8,13.5,8.5,5.0,3.8,20.8,108.7
Pre All-Star,38.7,94.2,41.1,13.9,38.8,35.9,16.1,20.6,78.1,9.7,36.2,46.0,24.0,14.2,7.4,4.6,6.3,21.4,107.5
Post All-Star,38.7,91.9,42.1,12.6,37.5,33.7,16.5,20.7,79.8,7.9,36.5,44.4,23.0,14.8,7.6,4.3,4.4,21.2,106.6
0 Days Rest,38.1,93.1,40.9,15.0,39.6,37.9,12.7,15.8,80.4,8.7,36.1,44.8,24.6,13.0,7.3,5.4,5.7,20.3,103.9
1 Days Rest,39.0,94.5,41.3,13.3,38.5,34.7,15.9,20.6,77.1,9.7,36.5,46.2,23.4,14.7,7.5,4.3,6.1,21.6,107.3
2 Days Rest,38.7,94.0,41.2,13.3,37.1,35.8,17.7,21.9,81.0,9.3,35.9,45.1,23.7,12.1,7.3,5.6,6.0,18.4,108.4
3 Days Rest,38.0,91.0,41.8,15.3,38.0,40.4,25.0,29.7,84.3,9.7,30.0,39.7,25.7,14.7,8.7,3.3,5.0,26.0,116.3
6+ Days Rest,36.5,86.5,42.2,14.5,42.5,34.1,21.0,27.5,76.4,8.5,43.0,51.5,25.0,18.0,4.5,5.5,6.5,24.0,108.5
