BREAKDOWN,GP,MIN,PTS,W,L,WIN%,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
2019-20,64,48.3,113.0,46,18,.719,40.6,88.5,45.8,13.8,37.0,37.1,18.1,22.6,80.0,9.7,35.5,45.2,25.4,14.4,8.8,4.9,21.5,6.5
Home,32,48.3,115.9,23,9,.719,41.6,89.2,46.6,14.1,37.2,38.0,18.6,23.1,80.5,9.8,36.3,46.1,26.1,14.0,8.9,4.8,21.3,8.7
Road,32,48.3,110.1,23,9,.719,39.5,87.8,45.0,13.4,36.8,36.3,17.6,22.2,79.5,9.5,34.8,44.3,24.7,14.8,8.8,5.1,21.7,4.2
Wins,46,48.2,117.8,46,0,1.000,42.5,88.5,48.0,14.2,36.2,39.3,18.7,23.3,79.9,9.6,36.0,45.7,26.4,14.3,9.3,4.9,21.5,12.3
Losses,18,48.6,100.6,0,18,.000,35.7,88.6,40.3,12.6,39.2,32.1,16.7,20.8,80.5,9.7,34.3,44.0,22.8,14.8,7.6,5.1,21.5,-8.5
October,5,49.0,114.6,4,1,.800,40.2,86.8,46.3,14.0,36.8,38.0,20.2,23.0,87.8,8.0,41.6,49.6,24.2,19.2,7.8,5.0,23.8,9.4
November,13,48.0,111.5,10,3,.769,40.3,88.0,45.8,14.4,35.9,40.0,16.5,21.4,77.0,9.7,35.3,45.0,25.6,13.9,7.7,5.0,20.4,8.2
December,16,48.6,110.6,9,7,.563,39.2,88.1,44.5,12.4,35.2,35.2,19.8,24.6,80.7,10.6,35.3,45.9,24.9,15.0,9.2,5.7,20.8,2.3
January,15,48.3,114.1,12,3,.800,42.1,90.9,46.4,13.9,37.8,36.7,15.9,20.7,76.8,10.1,34.5,44.5,26.8,12.9,9.6,4.4,22.2,8.0
February,10,48.0,114.8,7,3,.700,41.6,89.0,46.7,14.8,39.1,37.9,16.8,21.1,79.6,9.5,35.1,44.6,25.1,14.5,8.8,5.2,21.7,8.8
March,5,48.0,116.2,4,1,.800,39.2,84.8,46.2,13.8,39.4,35.0,24.0,28.0,85.7,7.2,35.0,42.2,23.6,13.6,9.4,3.4,21.8,3.2
Pre All-Star,55,48.4,112.9,40,15,.727,40.8,88.8,46.0,13.7,36.3,37.7,17.6,22.1,79.5,9.9,35.4,45.3,25.6,14.4,8.9,4.9,21.4,6.3
Post All-Star,9,48.0,113.2,6,3,.667,38.9,86.9,44.8,14.2,41.4,34.3,21.2,25.6,83.0,8.4,36.4,44.9,23.8,14.7,8.7,5.3,22.3,7.2
0 Days Rest,10,49.0,106.0,7,3,.700,39.8,88.2,45.1,12.2,35.0,34.9,14.2,18.2,78.0,10.4,37.0,47.4,25.1,15.9,8.0,6.7,21.2,4.4
1 Days Rest,38,48.1,115.1,30,8,.789,41.1,88.8,46.3,13.8,37.3,37.1,19.1,23.8,80.2,9.7,35.2,44.8,25.9,13.7,9.3,4.6,21.2,8.8
2 Days Rest,12,48.0,110.1,6,6,.500,39.2,87.8,44.6,14.4,37.4,38.5,17.3,21.9,79.1,9.5,34.6,44.1,23.8,14.7,8.4,4.2,22.6,0.6
3 Days Rest,3,49.7,119.3,2,1,.667,41.3,92.3,44.8,15.0,39.0,38.5,21.7,26.0,83.3,8.7,37.7,46.3,27.0,14.3,8.0,3.3,22.3,3.7
6+ Days Rest,1,48.0,118.0,1,0,1.000,42.0,80.0,52.5,14.0,37.0,37.8,20.0,22.0,90.9,7.0,41.0,48.0,24.0,25.0,7.0,13.0,20.0,17.0
